Index	e_above_hull	Sn_fraction
gen-3-143	0.036556	0.333333
gen-3-144	0.046590	0.600000
gen-3-145	0.016273	0.200000
gen-3-146	0.049024	0.454545
gen-3-147	0.117500	0.750000
gen-3-148	0.001969	0.500000
gen-3-149	0.077953	0.200000
gen-3-150	0.015507	0.285714
gen-3-151	0.039530	0.133333
gen-3-152	0.020620	0.500000
gen-3-153	0.118390	0.600000
gen-3-154	0.048436	0.416667
gen-3-155	0.048700	0.500000
gen-3-156	0.014148	0.181818
gen-3-157	0.021700	0.333333
gen-3-158	0.065422	0.555556
gen-3-159	0.010599	0.166667
gen-3-160	0.020250	0.700000
gen-3-161	0.023050	0.571429
gen-3-162	0.153157	0.285714
gen-3-163	0.030256	0.250000
gen-3-164	0.000314	0.285714
gen-3-165	0.039811	0.777778
gen-3-166	0.051431	0.812500
gen-3-167	0.091700	0.500000
gen-3-168	0.038092	0.615385
gen-3-169	0.057217	0.500000
gen-3-170	0.039850	0.600000
gen-3-171	0.099331	0.384615
gen-3-172	0.056484	0.684211
gen-3-173	0.065702	0.300000
gen-3-174	0.035981	0.250000
gen-3-175	0.024183	0.583333
gen-3-176	0.023548	0.357143
gen-3-177	0.080121	0.285714
gen-3-178	0.039010	0.700000
gen-3-179	0.045300	0.833333
gen-3-180	0.048585	0.235294
gen-3-181	0.022527	0.400000
gen-3-182	0.076427	0.363636
