Index	e_above_hull	formation_energy	Sn_fraction
08-86	0.034733	-0.198755	0.125000
08-87	0.031512	-0.218170	0.625000
08-88	0.075000	-0.257910	0.500000
08-89	0.000000	-0.405690	0.250000
08-90	0.015025	-0.317885	0.500000
08-91	0.049863	-0.355827	0.250000
08-92	0.049800	-0.355890	0.250000
08-93	0.032017	-0.189923	0.666667
08-94	0.107640	-0.025524	0.800000
08-95	0.153177	-0.258404	0.300000
08-96	0.021750	-0.144705	0.750000
08-97	0.140714	-0.262158	0.333333
08-98	0.026050	-0.306860	0.500000
08-99	0.043145	-0.189892	0.650000
08-100	0.058025	-0.304869	0.428571
08-101	0.008636	-0.394236	0.333333
08-102	0.038852	-0.308051	0.466667
08-103	0.030767	-0.246658	0.583333
08-104	0.024150	-0.175596	0.700000
08-105	0.020655	-0.354232	0.400000
08-106	0.021750	-0.144705	0.750000
08-107	0.037108	-0.319122	0.444444
08-108	0.069856	-0.152084	0.666667
08-109	0.031770	-0.234558	0.600000
08-110	0.060048	-0.295583	0.200000
08-111	0.000925	-0.331985	0.500000
08-112	0.082594	-0.208702	0.562500
08-113	0.023025	-0.198915	0.666667
08-114	0.033458	-0.369413	0.333333
08-115	0.046512	-0.359177	0.250000
08-116	0.026350	-0.306560	0.500000
08-117	0.016183	-0.295133	0.166667
08-118	0.054592	-0.348280	0.333333
08-119	0.048781	-0.354091	0.333333
08-120	0.070373	-0.341442	0.272727
08-121	0.034781	-0.350600	0.375000
08-122	0.021175	-0.145280	0.750000
08-123	0.049514	-0.338628	0.368421
08-124	0.021175	-0.145280	0.750000
08-125	0.092917	-0.312773	0.250000
08-126	0.030485	-0.344402	0.400000
08-127	0.029606	-0.355775	0.375000
08-128	0.001075	-0.331835	0.500000
08-129	0.057500	-0.348190	0.250000
08-130	0.092635	-0.282252	0.400000
08-131	0.048358	-0.354513	0.333333
08-132	0.037610	-0.228718	0.600000
08-133	0.045025	-0.329862	0.400000
08-134	0.037735	-0.337152	0.400000
08-135	0.059250	-0.199680	0.611111
08-136	0.052933	-0.349938	0.333333
08-137	0.001958	-0.400913	0.333333
08-138	0.025060	-0.307850	0.500000
08-139	0.000025	-0.332885	0.500000
08-140	0.000025	-0.332885	0.500000
08-141	0.024065	-0.175681	0.700000
08-142	0.034733	-0.198755	0.125000
08-143	0.016183	-0.295133	0.166667
08-144	0.005175	-0.397697	0.333333
08-145	0.000000	-0.405690	0.250000
08-146	0.071033	-0.324843	0.350000
08-147	0.116625	-0.049830	0.750000
08-148	0.002981	-0.399891	0.333333
08-149	0.000025	-0.332885	0.500000
08-150	0.000275	-0.405415	0.250000
08-151	0.016997	-0.394584	0.300000
08-152	0.028167	-0.374705	0.333333
08-153	0.049788	-0.355902	0.250000
08-154	0.057475	-0.348215	0.250000
08-155	0.027165	-0.172581	0.700000
08-156	0.026350	-0.306560	0.500000
08-157	0.040950	-0.144000	0.722222
08-158	0.038353	-0.371828	0.266667
08-159	0.048763	-0.347113	0.350000
08-160	0.108110	-0.158218	0.600000
08-161	0.026516	-0.181029	0.111111
08-162	0.030966	-0.359185	0.363636
08-163	0.021175	-0.145280	0.750000
08-164	0.014615	-0.341016	0.200000
08-165	0.040783	-0.292127	0.500000
08-166	0.022833	-0.199107	0.666667
08-167	0.016167	-0.295150	0.166667
08-168	0.036400	-0.229928	0.600000
08-169	0.039372	-0.256548	0.555556
08-170	0.048075	-0.354797	0.333333
08-171	0.050008	-0.352863	0.333333
08-172	0.049838	-0.355852	0.250000
08-173	0.034135	-0.321496	0.200000
08-174	0.021775	-0.144680	0.750000
08-175	0.020795	-0.354092	0.400000
08-176	0.046089	-0.249831	0.555556
08-177	0.057450	-0.348240	0.250000
08-178	0.021175	-0.145280	0.750000
08-179	0.059667	-0.346023	0.250000
08-180	0.000056	-0.384682	0.222222
08-181	0.000275	-0.405415	0.250000
08-182	0.001013	-0.404677	0.250000
08-183	0.000025	-0.332885	0.500000
08-184	0.070380	-0.195948	0.600000
08-185	0.031554	-0.331340	0.428571
08-186	0.049800	-0.355890	0.250000
08-187	0.021175	-0.145280	0.750000
08-188	0.026516	-0.181029	0.111111
08-189	0.049877	-0.361704	0.300000
08-190	0.028650	-0.346237	0.400000
08-191	0.000025	-0.332885	0.500000
08-192	0.017247	-0.394334	0.300000
08-193	0.017850	-0.385022	0.333333
08-194	0.095779	-0.319536	0.285714
08-195	0.063342	-0.339530	0.333333
08-196	0.031212	-0.218470	0.625000
08-197	0.050294	-0.335087	0.375000
08-198	0.057475	-0.348215	0.250000
08-199	0.001892	-0.400980	0.333333
03-0	0.026375	-0.306535	0.500000
03-1	0.000025	-0.405665	0.250000
03-2	0.000056	-0.384682	0.222222
03-3	0.050206	-0.199476	0.625000
03-4	0.025070	-0.307840	0.500000
03-5	0.008425	-0.323035	0.181818
03-6	0.037255	-0.337632	0.400000
03-7	0.022925	-0.199015	0.666667
03-8	0.026527	-0.181018	0.111111
03-9	0.057475	-0.348215	0.250000
03-10	0.057450	-0.348240	0.250000
03-11	0.000195	-0.355436	0.200000
03-12	0.021962	-0.144493	0.750000
03-13	0.064050	-0.341640	0.250000
03-14	0.035225	-0.131230	0.750000
03-15	0.020795	-0.354092	0.400000
03-16	0.030397	-0.328749	0.437500
03-17	0.031645	-0.343242	0.400000
03-18	0.021175	-0.145280	0.750000
03-19	0.047567	-0.301488	0.461538
03-20	0.112073	-0.299742	0.272727
03-21	0.027339	-0.362813	0.363636
03-22	0.078250	-0.088205	0.750000
03-23	0.069807	-0.240909	0.533333
03-24	0.001275	-0.331635	0.500000
03-25	0.055411	-0.307483	0.428571
03-26	0.000020	-0.332890	0.500000
03-27	0.057475	-0.348215	0.250000
03-28	0.029443	-0.219611	0.133333
03-29	0.097056	-0.316120	0.277778
03-30	0.038575	-0.294335	0.500000
03-31	0.000000	-0.332910	0.500000
03-32	0.017637	-0.350253	0.416667
03-33	0.069900	-0.129846	0.700000
03-34	0.078583	-0.198842	0.583333
03-35	0.062650	-0.187033	0.625000
03-36	0.000175	-0.355456	0.200000
03-37	0.038819	-0.127636	0.750000
03-38	0.022183	-0.289133	0.166667
03-39	0.014515	-0.341116	0.200000
03-40	0.070450	-0.096005	0.750000
03-41	0.000008	-0.402863	0.333333
03-42	0.038475	-0.294435	0.500000
03-43	0.000215	-0.355416	0.200000
03-44	0.030485	-0.344402	0.400000
03-45	0.021175	-0.145280	0.750000
03-46	0.021175	-0.145280	0.750000
03-47	0.022747	-0.388834	0.300000
03-48	0.045236	-0.196880	0.636364
03-49	0.093078	-0.291660	0.222222
03-50	0.047913	-0.357777	0.250000
03-51	0.057500	-0.348190	0.250000
03-52	0.000000	-0.405690	0.250000
03-53	0.016867	-0.394714	0.300000
03-54	0.022400	-0.243928	0.600000
03-55	0.057450	-0.348240	0.250000
03-56	0.030605	-0.344282	0.400000
03-57	0.028175	-0.249250	0.583333
03-58	0.000125	-0.405565	0.250000
03-59	0.027750	-0.375122	0.333333
03-60	0.071009	-0.340805	0.272727
03-61	0.049875	-0.355815	0.250000
03-62	0.064234	-0.287756	0.454545
03-63	0.044800	-0.365381	0.266667
03-64	0.050306	-0.282604	0.500000
03-65	0.002792	-0.400080	0.333333
03-66	0.049800	-0.355890	0.250000
03-67	0.053619	-0.352071	0.250000
03-68	0.086850	-0.046314	0.800000
03-69	0.035500	-0.146087	0.727273
03-70	0.038450	-0.294460	0.500000
03-71	0.026527	-0.181018	0.111111
03-72	0.128250	-0.138078	0.600000
03-73	0.071628	-0.282271	0.450000
03-74	0.038325	-0.294585	0.500000
03-75	0.000313	-0.405377	0.250000
03-76	0.025482	-0.337411	0.428571
03-77	0.110186	-0.305129	0.285714
03-78	0.057475	-0.348215	0.250000
03-79	0.052122	-0.095838	0.777778
03-80	0.000155	-0.355476	0.200000
03-81	0.000000	-0.405690	0.250000
03-82	0.099367	-0.159563	0.611111
03-83	0.042275	-0.290635	0.500000
03-84	0.020383	-0.201557	0.666667
03-85	0.028681	-0.221001	0.625000
