Index	e_above_hull	formation_energy	Li_fraction	Ga_fraction	Sn_fraction
gen-2-78	0.067790	-0.333991	0.500000	0.083333	0.416667
gen-2-79	0.015912	-0.326591	0.583333	0.250000	0.166667
gen-2-80	0.051760	-0.290852	0.500000	0.333333	0.166667
gen-2-81	0.055882	-0.181389	0.272727	0.545455	0.181818
gen-2-82	0.044406	-0.309290	0.642857	0.142857	0.214286
gen-2-83	0.065691	-0.326229	0.500000	0.125000	0.375000
gen-2-84	0.024117	-0.270385	0.333333	0.166667	0.500000
gen-2-85	0.042566	-0.280214	0.583333	0.333333	0.083333
gen-2-86	0.059303	-0.322755	0.500000	0.166667	0.333333
gen-2-87	0.006267	0.006267	0.000000	1.000000	0.000000
gen-2-88	0.050849	-0.284890	0.444444	0.333333	0.222222
gen-2-89	0.045065	-0.317270	0.500000	0.250000	0.250000
gen-2-90	0.050909	-0.275924	0.500000	0.400000	0.100000
gen-2-91	0.010184	-0.332211	0.666667	0.166667	0.166667
gen-2-92	0.001763	-0.229324	0.300000	0.700000	0.000000
gen-2-93	0.033345	-0.340694	0.600000	0.100000	0.300000
gen-2-94	0.046707	-0.295688	0.666667	0.166667	0.166667
gen-2-95	0.033636	-0.328591	0.583333	0.166667	0.250000
gen-2-96	0.000000	-0.033526	0.000000	0.750000	0.250000
gen-2-97	0.010252	-0.332143	0.666667	0.166667	0.166667
gen-2-98	0.064618	-0.317332	0.583333	0.083333	0.333333
gen-2-99	0.045601	-0.316734	0.500000	0.250000	0.250000
gen-2-100	0.026849	-0.315618	0.611111	0.222222	0.166667
gen-2-101	0.083483	-0.205485	0.333333	0.333333	0.333333
gen-2-102	0.076048	-0.259691	0.444444	0.333333	0.222222
gen-2-103	0.058494	-0.297194	0.555556	0.222222	0.222222
gen-2-104	0.027592	-0.235231	0.333333	0.583333	0.083333
gen-2-105	0.034023	-0.316348	0.600000	0.200000	0.200000
gen-2-106	0.047090	-0.315245	0.500000	0.250000	0.250000
gen-2-107	0.042633	-0.319594	0.583333	0.166667	0.250000
gen-2-108	0.027840	-0.334387	0.583333	0.166667	0.250000
gen-2-109	0.052470	-0.226283	0.777778	0.111111	0.111111
gen-2-110	0.064770	-0.309399	0.500000	0.200000	0.300000
gen-2-111	0.049397	-0.301104	0.500000	0.300000	0.200000
gen-2-112	0.086515	-0.295543	0.500000	0.166667	0.333333
gen-2-113	0.017213	-0.279004	0.727273	0.181818	0.090909
gen-2-114	0.071881	-0.230688	0.388889	0.444444	0.166667
gen-2-115	0.089177	-0.292772	0.583333	0.083333	0.333333
gen-2-116	0.040662	-0.292088	0.500000	0.375000	0.125000
gen-2-117	0.057569	-0.285043	0.500000	0.333333	0.166667
gen-2-118	0.038918	-0.328619	0.636364	0.090909	0.272727
gen-2-119	0.000000	-0.320593	0.666667	0.222222	0.111111
gen-2-120	0.045506	-0.281262	0.550000	0.350000	0.100000
gen-2-121	0.035014	-0.339024	0.600000	0.100000	0.300000
gen-2-122	0.049525	0.017595	0.000000	0.714286	0.285714
gen-2-123	0.072778	-0.262961	0.444444	0.333333	0.222222
gen-2-124	0.072184	-0.210363	0.333333	0.500000	0.166667
gen-2-125	0.065403	-0.326517	0.500000	0.125000	0.375000
gen-2-126	0.043571	-0.289179	0.500000	0.375000	0.125000
gen-2-127	0.052277	-0.329709	0.555556	0.111111	0.333333
gen-2-128	0.047353	-0.314982	0.500000	0.250000	0.250000
