Index	e_above_hull	Sn_fraction
gen-2-159	0.026922	0.333333
gen-2-160	0.048613	1.000000
gen-2-161	0.018889	0.166667
gen-2-162	0.000033	0.500000
gen-2-163	0.040771	1.000000
gen-2-164	0.037700	1.000000
gen-2-165	0.024297	0.333333
gen-2-166	0.018053	0.400000
gen-2-167	0.028191	0.250000
gen-2-168	0.028970	1.000000
gen-2-169	0.016272	0.200000
gen-2-170	0.048400	1.000000
gen-2-171	0.001969	0.500000
gen-2-172	0.020630	0.500000
gen-2-173	0.043742	1.000000
gen-2-174	0.015507	0.285714
gen-2-175	0.025074	0.428571
gen-2-176	0.048460	1.000000
gen-2-177	0.038500	1.000000
gen-2-178	0.021700	0.333333
gen-2-179	0.010597	0.166667
gen-2-180	0.032620	0.550000
gen-2-181	0.016633	0.400000
gen-2-182	0.048138	1.000000
gen-2-183	0.026050	0.600000
gen-2-184	0.035000	1.000000
gen-2-185	0.000056	0.222222
gen-2-186	0.048525	1.000000
gen-2-187	0.000314	0.285714
gen-2-188	0.030256	0.250000
gen-2-189	0.048563	1.000000
gen-2-190	0.017350	0.500000
gen-2-191	0.037006	1.000000
gen-2-192	0.024933	0.666667
gen-2-193	0.054994	1.000000
gen-2-194	0.024217	0.583333
gen-2-195	0.035981	0.250000
gen-2-196	0.049250	1.000000
gen-2-197	0.025589	0.333333
gen-2-198	0.022527	0.400000
gen-2-199	0.048750	1.000000
